trade_date,bad_risk_logit
20250313,0.3618389688079583
20250314,0.4022030193516329
20250317,0.478331785662598
20250318,0.3435618512998911
20250319,0.5295004895907474
20250320,0.5636527358175474
20250321,0.5461725046332692
20250324,0.7039839844611224
20250325,0.4957657310843518
20250326,0.5345216826958561
20250327,0.4379118654640125
20250328,0.4826694409084771
20250331,0.3789288743982967
20250401,0.540439184772328
20250402,0.4349785511291685
20250403,0.3276060721817701
20250407,0.0059528901218738
20250408,0.5399125531687948
20250409,0.8119530794166642
20250410,0.8695829374924366
20250411,0.7771456245329424
20250414,0.7091065917082787
20250415,0.7821641683853685
20250416,0.6812822547865252
20250417,0.7931099273845041
20250418,0.7371187213262225
20250421,0.7976339822125119
20250422,0.5971605044762424
20250423,0.6132450679163619
20250424,0.6297753958606499
20250425,0.5534135469920088
20250428,0.7120142671320183
20250429,0.679095123391273
20250430,0.7999730922930469
20250506,0.6939563994766532
20250507,0.440422035449836
20250508,0.3982277500952645
20250509,0.5728828563999525
20250512,0.5669787323027243
20250513,0.4291241374432823
20250514,0.3376974042259781
20250515,0.4214435541737605
20250516,0.5505111933273459
20250519,0.379205575817711
20250520,0.3210306295264962
20250521,0.404256545741709
20250522,0.526003311814206
20250523,0.708658734079185
20250526,0.5168941955402734
20250527,0.5314930982458154
20250528,0.5684774465397857
20250529,0.50159751571684
20250530,0.4450951524706585
20250603,0.4483421117071636
20250604,0.3797086550444123
20250605,0.2632979746092977
20250606,0.4194507366423208
20250609,0.3241039030519312
20250610,0.338865705274709
20250611,0.3402673378658504
20250612,0.444846096686115
20250613,0.3730683658017411
20250616,0.4874944403243796
20250617,0.4309016796152488
20250618,0.5712173720282748
20250619,0.4289087560440279
20250620,0.472138818718569
20250623,0.4285166576493641
20250624,0.5423932068875746
20250625,0.4243701107399054
20250626,0.3994979849857147
20250627,0.4325202182061761
20250630,0.4706431558216061
20250701,0.3843772221547047
20250702,0.4724952694220717
20250703,0.5169998830698962
20250704,0.4289955022561688
20250707,0.3849070522859523
20250708,0.3079257315202689
20250709,0.4697826272506616
20250710,0.3800653544310522
20250711,0.4307080379155251
20250714,0.350771407069353
20250715,0.5846983319820866
20250716,0.5417233725105557
20250717,0.3736753900154003
20250718,0.3743336072951608
20250721,0.3067304270252878
20250722,0.4778961300648069
20250723,0.6100642469304192
20250724,0.4487311001307692
20250725,0.4547022051936067
20250728,0.4316946617202773
20250729,0.5738524858847598
20250730,0.3307616368465353
20250731,0.5227544602969394
20250801,0.3763450322514448
20250804,0.3612558288489235
20250805,0.3202825724902676
20250806,0.4074095869559609
20250807,0.3808294929527475
20250808,0.3819170005973569
20250811,0.5793687700219994
20250812,0.4073258216312556
20250813,0.3635455675632654
20250814,0.383730568781452
20250815,0.3779374965374302
20250818,0.4796237422007546
20250819,0.4498722071583075
20250820,0.3842611728754348
20250821,0.5334300117222621
20250822,0.4787165199371242
20250825,0.4798176998630435
20250826,0.5279838309061561
20250827,0.6051810155128059
20250828,0.5332161235169468
20250829,0.6734220688919951
20250901,0.6748102587146791
20250902,0.5665104290217342
20250903,0.5331953141098601
20250904,0.4523261385471149
20250905,0.620733836149734
20250908,0.567497195444075
20250909,0.5042280562003105
20250910,0.517127039218683
20250911,0.5328946881284283
20250912,0.4296577188252222
20250915,0.4280142256350548
20250916,0.5374433885081545
20250917,0.4100181054019979
20250918,0.4927173619803676
20250919,0.4422127188077165
20250922,0.5148691859186031
20250923,0.3762350205462036
20250924,0.517078745069119
20250925,0.518701084057825
20250926,0.3257145141415983
20250929,0.429501613261462
20250930,0.4448599930663631
20251009,0.4511410848157679
20251010,0.3676525718147298
20251013,0.5721143695593736
20251014,0.2150601311560128
20251015,0.304335272648526
20251016,0.3177725356066898
20251017,0.4157670151606576
20251020,0.5154430477225473
20251021,0.4602087392331688
20251022,0.4352136086758662
20251023,0.2938906860295072
20251024,0.5818650782966198
20251027,0.4155379795303362
20251028,0.3009822661224469
20251029,0.5516684030427694
20251030,0.439303511222933
20251031,0.5108783825530235
20251103,0.3793486840812277
20251104,0.2978921722378265
20251105,0.5576482408683927
20251106,0.4264776481527952
20251107,0.4881059106266478
20251110,0.2731394270237619
20251111,0.243725958356547
20251112,0.3854164966265583
20251113,0.3903077367158963
20251114,0.341994212987756
20251117,0.4995617853562386
20251118,0.3985949764422894
20251119,0.3810007311316361
20251120,0.4912148874385303
20251121,0.3738009805472708
20251124,0.6330713809986618
20251125,0.5604882529093467
20251126,0.5465408931847608
20251127,0.2942355318134427
20251128,0.2513848774277592
20251201,0.3131403836231637
20251202,0.3228685991945484
20251203,0.4022208421176289
20251204,0.480500035944058
20251205,0.3868760891356863
20251208,0.4084659699637346
20251209,0.4387716166651644
20251210,0.5643555367167369
20251211,0.5328064287349142
20251212,0.6918280580274548
20251215,0.4981033082007934
20251216,0.5972022216936602
20251217,0.442043559763857
20251218,0.4306990820871659
20251219,0.3157402461931042
20251222,0.3947371850190936
20251223,0.3751723053894965
20251224,0.3798969658195384
20251225,0.3842806738108795
20251226,0.3164020021696478
20251229,0.3849787512867185
20251230,0.4876621536381295
20251231,0.2940639052720813
