policy,dates,signal_days,trades,precision,avg_trade_ret,bad_days,good_days,profit_factor_day,max_drawdown_day,sharpe_day
logit_keep50,60,29,87,0.4942528735632184,0.014595355648823359,5,15,1.9470945616304307,-0.12424107371240178,2.914843541392924
logit_keep60,60,36,108,0.4351851851851852,0.008525136590116856,10,16,1.4699852535455746,-0.21564542956918809,1.9136894122907302
logit_keep100,60,60,180,0.4444444444444444,0.0048850285316451875,15,26,1.2728185448746252,-0.35993783802221013,1.5316380577258006
