trade_date,ts_code,priority,priority_name,priority_model_count,avg_pred,avg_pred_rank,avg_rank_raw,seed_pred_cv,vote4_top3_count,avg_pred_top1,vote3_top3,vote4_strict_top3,avg_hi_hktech40_n22530,vote4_hi_hktech40_n22530,vote4_hi_plus_avg_hi,vote4_hi_plus_avg_broad_hktech20,priority1a_signal,priority1b_signal,priority1b_raw_signal,priority1_signal,priority2_signal,priority3_raw_signal,priority3_signal,turnover_prank_1500,hktech_swing,n225_swing,spx_swing,hsi_ret_lag1,ret_5_rel_csi1500_ew,pred_seed20260710,rank_seed20260710,pred_seed20260711,rank_seed20260711,pred_seed20260712,rank_seed20260712,pred_seed20260713,rank_seed20260713,pred_seed20260714,rank_seed20260714
20260710,688549.SH,3,P3_global_china_expansion,0,0.4745381532954388,1.0,2.2,0.06609708087278333,4,True,True,True,False,False,False,False,False,False,False,False,False,True,True,0.9929873772791024,3.31,1.63,0.87,-0.006995,-0.17959957549825084,0.48746895002995355,1.0,0.4588335820260506,6.0,0.5300129140867114,1.0,0.44377092948715985,2.0,0.45260439084731896,1.0
20260710,301526.SZ,0,,0,0.4613144708265956,2.0,4.4,0.06959937993942189,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9396914446002805,3.31,1.63,0.87,-0.006995,-0.1859149295512647,0.45281302669949147,5.0,0.470528218713356,3.0,0.5187611454232465,2.0,0.4305261348708108,4.0,0.4339438284260734,8.0
20260710,600487.SH,0,,0,0.4552578247597848,3.0,6.0,0.060047731227279445,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9488078541374474,3.31,1.63,0.87,-0.006995,-0.1068267357480574,0.4500383861302442,6.0,0.48587246525064964,1.0,0.48357033825037,6.0,0.4121519538810633,15.0,0.4446559802865975,2.0
20260710,300285.SZ,0,,0,0.44921497150904155,4.0,8.2,0.06963842171279827,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9354838709677419,3.31,1.63,0.87,-0.006995,-0.16996778404040164,0.44854977699741944,7.0,0.4434072498983461,11.0,0.5066305547136033,3.0,0.4122390061751165,14.0,0.4352482697607227,6.0
20260710,301205.SZ,0,,0,0.44649820361926895,5.0,8.0,0.0518808336847186,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9137447405329593,3.31,1.63,0.87,-0.006995,-0.08648711338274268,0.45947748589111836,3.0,0.4473239207172829,10.0,0.4818821844337918,8.0,0.427006107453289,6.0,0.416801319600863,13.0
20260710,605376.SH,3,P3_global_china_expansion,0,0.4426522037784525,6.0,15.6,0.04905054700929139,3,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0.8085553997194951,3.31,1.63,0.87,-0.006995,-0.14311942200733835,0.46229102533698596,2.0,0.4023786064196846,54.0,0.4612798577021498,16.0,0.4431672738283054,3.0,0.44414425560513676,3.0
20260710,688300.SH,0,,0,0.4374631305044244,7.0,17.2,0.07439069122099608,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8877980364656382,3.31,1.63,0.87,-0.006995,-0.09936697371894038,0.4328001044739572,16.0,0.40440529865898495,49.0,0.4982792517237879,4.0,0.41553681666687053,12.0,0.4362941809985215,5.0
20260710,603083.SH,0,,0,0.4366683373325685,8.0,18.2,0.07886338607648671,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9460028050490884,3.31,1.63,0.87,-0.006995,-0.01784129106637028,0.4198791292641278,31.0,0.48067734704990667,2.0,0.47492970933120593,11.0,0.41110720870754786,17.0,0.39674829231005415,30.0
20260710,000766.SZ,0,,0,0.4362662612901155,9.0,15.6,0.04609326878617202,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6654978962131838,3.31,1.63,0.87,-0.006995,-0.029188822166245243,0.4250608439902467,25.0,0.4665622378982172,4.0,0.4521121754788149,23.0,0.41114727999930356,16.0,0.42644876908399515,10.0
20260710,688548.SH,0,,0,0.4300664532354296,10.0,24.4,0.07940310067780472,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8387096774193549,3.31,1.63,0.87,-0.006995,-0.03081456806576449,0.4371443543641587,14.0,0.39658885999675236,72.0,0.4931879053204121,5.0,0.41248989161225447,13.0,0.4109212548835705,18.0
20260710,688106.SH,0,,0,0.42919822926396806,11.0,20.4,0.05705018102372296,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9775596072931276,3.31,1.63,0.87,-0.006995,-0.11860888283066678,0.44649984792046615,9.0,0.4089890951565406,44.0,0.46921589474792,12.0,0.41051923847026933,18.0,0.41076707002464374,19.0
20260710,688519.SH,0,,0,0.4285182543234588,12.0,23.0,0.06756923620454895,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6423562412342216,3.31,1.63,0.87,-0.006995,-0.07915516301536968,0.4246788331514782,27.0,0.4413036600406275,13.0,0.4751619178511384,9.0,0.3886214567610159,50.0,0.4128254038130338,16.0
20260710,002897.SZ,0,,0,0.4268929265366178,13.0,26.0,0.06206940254037203,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9859747545582047,3.31,1.63,0.87,-0.006995,0.09038505077582709,0.4152039607887461,38.0,0.44927091502838856,8.0,0.46095051287696065,17.0,0.38565169796011645,56.0,0.423387546028877,11.0
20260710,002080.SZ,0,,0,0.4248433025441753,14.0,25.2,0.03915746529335191,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7791023842917251,3.31,1.63,0.87,-0.006995,-0.15007539315544566,0.4270827924342848,24.0,0.44198300849598254,12.0,0.43384776802529623,49.0,0.42798735484161227,5.0,0.3933155889237007,36.0
20260710,688019.SH,0,,0,0.42359045991542804,15.0,35.2,0.08967933256373194,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.800140252454418,3.31,1.63,0.87,-0.006995,0.12800356336003788,0.4471506739046627,8.0,0.38593404768837297,87.0,0.4819648430010295,7.0,0.38078446147525696,62.0,0.42211827350781816,12.0
20260710,600869.SH,0,,0,0.421981694794646,16.0,26.8,0.03411714920978391,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8534361851332398,3.31,1.63,0.87,-0.006995,-0.20704502196970193,0.428280175640453,22.0,0.4141428731319976,34.0,0.44181734002520145,36.0,0.3991517336933376,33.0,0.42651635148224015,9.0
20260710,002354.SZ,0,,0,0.42020260711312823,17.0,29.4,0.03745044873458223,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9985974754558204,3.31,1.63,0.87,-0.006995,-0.06024734161075779,0.4143252041041297,40.0,0.4380506937394691,17.0,0.43436541993158884,46.0,0.4202329478451715,9.0,0.39403876994528203,35.0
