feature,importance_gain,importance_split
last30_vol_share,1428.4368209838867,6
csi1500_ew_mom_3_lag5,1425.7513008117676,13
csi1500_mcap_mom_5_lag1,1416.4504928588867,11
sw_l2_market_alpha_ew_5_lag3,1414.860092163086,11
hsi_swing_lag1,1401.7765045166016,16
realized_down_semivar_lag1,1398.558822631836,10
ret_1,1396.272304534912,12
realized_down_semivar,1383.458984375,3
mkt_ret_spread_lag1,1381.4850006103516,13
beta_to_csi1500_ew_20d_lag10,1378.6283950805664,13
sw_l2_ret_rel_csi1500_mcap,1370.7350158691406,11
down_bar_ratio_lag3,1363.9344863891602,10
csi1500_ew_mom_3_lag2,1357.435401916504,13
csi1500_mcap_mom_10_lag3,1347.5694885253906,15
margin_pressure_lag2,1346.9635162353516,10
ret_5_minus_ret_20_lag5,1340.8262786865234,10
csi1500_ew_ret_std_20_lag5,1335.379295349121,13
mkt_ret_sh_lag5,1323.1584854125977,12
csi1500_mcap_mom_3,1319.8887023925781,12
margin_pressure_lag3,1313.2457885742188,7
xin9_swing_lag3,1311.5964126586914,12
turnover_prank_1500_lag3,1311.1309967041016,5
hktech_swing_lag1,1305.0434837341309,15
spx_swing_lag2,1301.3963088989258,14
hsi_ret_lag2,1298.649314880371,14
mkt_flow_concentration_lag2,1295.8100891113281,9
sw_l2_mom_3,1292.1795959472656,10
spx_ret,1288.2811889648438,12
max_5m_range_lag2,1285.0592498779297,5
hurst_intraday,1270.1104888916016,7
ixic_vol_z_lag1,1268.082992553711,12
mkt_mf_inst_rate_lag4,1265.539405822754,10
max_5m_range_lag3,1261.1479949951172,4
n225_ret_lag3,1258.3612022399902,12
csi1500_mcap_mom_3_lag1,1257.4740905761719,11
mkt_gt3_rate_lag2,1247.007999420166,13
mkt_ret_sh_lag2,1237.9573059082031,11
csi1500_mcap_mom_2_lag5,1232.365005493164,9
mkt_mf_inst_z_20_lag1,1223.1581954956055,9
ixic_ret,1221.883701324463,14
xin9_ret_lag3,1219.708511352539,15
return_autocorr_1_lag1,1217.923583984375,10
hktech_ret_lag1,1217.373420715332,11
xin9_ret_lag1,1212.8886947631836,14
ret_3_rel_csi1500_mcap_lag1,1212.560691833496,7
mkt_gt3_rate_lag1,1210.8242263793945,7
csi1500_ew_gt_2pct_ratio_lag1,1207.8963088989258,11
vwap_high_ratio_lag6,1206.2300109863281,6
csi1500_ew_mom_20_lag5,1206.009593963623,13
ret_20_rel_csi1500_ew,1198.976203918457,9
hktech_ret_lag5,1189.1347961425781,12
csi1500_mcap_ret_std_20_lag1,1180.5856094360352,10
mkt_flow_concentration_lag1,1179.5230903625488,11
