model,ts_code,trade_date,priority_name,priority,target
h2m80d50_dual,603888.SH,20260605,layer2_m1_only,5,
h2m80d50_dual,600403.SH,20260604,layer2_m1_only,5,
h2m80d50_dual,688146.SH,20260604,layer2_m1_m3_overlap,5,
h2m80d50_dual,688515.SH,20260604,layer2_m3_only,5,
h2m80d50_dual,002484.SZ,20260603,strict_only,3,
h2m80d50_dual,600487.SH,20260603,strict_only,3,
h2m80d50_dual,600578.SH,20260603,strict_only,3,
h2m80d50_dual,688146.SH,20260603,strict_only,3,
h2m80d50_dual,688347.SH,20260603,strict_only,3,
h2m80d50_dual,688515.SH,20260603,strict_only,3,
h2m80d50_dual,000636.SZ,20260602,strict_only,3,
h2m80d50_dual,002080.SZ,20260602,strict_only,3,
h2m80d50_dual,002484.SZ,20260602,strict_only,3,
h2m80d50_dual,002851.SZ,20260602,strict_only,3,
h2m80d50_dual,002897.SZ,20260602,strict_only,3,
h2m80d50_dual,605111.SH,20260602,strict_only,3,
h2m80d50_dual,688146.SH,20260602,strict_only,3,
h2m80d50_dual,000636.SZ,20260601,overlap_core,1,
h2m80d50_dual,002421.SZ,20260601,strict_only,3,
h2m80d50_dual,002484.SZ,20260601,strong_only,2,
h2m80d50_dual,002608.SZ,20260601,strict_only,3,
h2m80d50_dual,603005.SH,20260601,strong_only,2,
h2m80d50_dual,688107.SH,20260601,overlap_core,1,
h2m80d50_dual,688515.SH,20260601,overlap_core,1,
h2m80d50_dual,688146.SH,20260529,layer2_m1_only,5,
h2m80d50_dual,000539.SZ,20260528,layer2_m1_only,5,
h2m80d50_dual,002484.SZ,20260527,overlap_core,1,
h2m80d50_dual,300323.SZ,20260527,strict_only,3,
h2m80d50_dual,600744.SH,20260527,strict_only,3,
h2m80d50_dual,603663.SH,20260527,overlap_core,1,
h2m80d50_dual,688037.SH,20260527,strict_only,3,
h2m80d50_dual,688146.SH,20260527,overlap_core,1,
h2m80d50_dual,688515.SH,20260527,strict_only,3,
h2m80d50_dual,002185.SZ,20260526,strict_only,3,
h2m80d50_dual,600158.SH,20260526,overlap_core,1,
h2m80d50_dual,603220.SH,20260526,overlap_core,1,
h2m80d50_dual,688003.SH,20260526,strict_only,3,
h2m80d50_dual,688037.SH,20260526,strict_only,3,
h2m80d50_dual,688183.SH,20260526,overlap_core,1,
h2m80d50_dual,688515.SH,20260526,strict_only,3,
h2m80d50_dual,688146.SH,20260525,layer2_m1_only,5,
h2m80d50_dual,002008.SZ,20260522,layer2_m3_only,5,
h2m80d50_dual,002281.SZ,20260522,layer2_m1_m3_overlap,5,
h2m80d50_dual,600186.SH,20260522,layer2_m1_only,5,
h2m80d50_dual,688146.SH,20260521,layer2_m1_only,5,
h2m80d50_dual,688234.SH,20260521,layer2_m1_only,5,
h2m80d50_dual,002081.SZ,20260520,layer2_m1_m3_overlap,5,
h2m80d50_dual,002281.SZ,20260520,layer2_m3_only,5,
h2m80d50_dual,600563.SH,20260520,layer2_m1_only,5,
h2m80d50_dual,688146.SH,20260520,layer2_m3_only,5,
h2m80d50_dual,002081.SZ,20260518,layer2_m1_only,5,
h2m80d50_dual,300657.SZ,20260518,layer2_m1_only,5,
h2m80d50_dual,603248.SH,20260515,layer2_m1_only,5,
h2m80d50_dual,688549.SH,20260515,layer2_m1_only,5,
h2m80d50_dual,600667.SH,20260512,layer2_m1_only,5,
h2m80d50_dual,600330.SH,20260511,layer2_m1_only,5,
h2m80d50_dual,002536.SZ,20260508,layer2_m1_only,5,
h2m80d50_dual,000628.SZ,20260430,layer2_m1_only,5,
h2m80d50_dual,000833.SZ,20260430,strict_only,3,
h2m80d50_dual,000967.SZ,20260428,layer2_m1_only,5,
h2m80d50_dual,002149.SZ,20260420,layer2_m1_only,5,
h2m80d50_dual,002364.SZ,20260413,layer2_m1_only,5,
h2m80d50_dual,002929.SZ,20260413,layer2_m1_only,5,
h2m80d50_dual,600330.SH,20260409,layer2_m1_only,5,
h2m80d50_dual,000990.SZ,20260407,layer2_m1_only,5,
h2m80d50_dual,600869.SH,20260403,layer2_m1_only,5,
h2m80d50_dual,688205.SH,20260403,layer2_m1_only,5,
h2m80d50_dual,000155.SZ,20260402,layer2_m1_only,5,
h2m80d50_dual,000767.SZ,20260326,layer2_m1_only,5,
h2m80d50_dual,600163.SH,20260326,layer2_m1_only,5,
h2m80d50_dual,601908.SH,20260326,strict_only,3,
h2m80d50_dual,600032.SH,20260325,layer2_m1_only,5,
h2m80d50_dual,601016.SH,20260325,layer2_m1_only,5,
h2m80d50_dual,600821.SH,20260324,layer2_m1_only,5,
h2m80d50_dual,002432.SZ,20260319,layer2_m1_only,5,
h2m80d50_dual,000048.SZ,20260318,strict_only,3,
h2m80d50_dual,002432.SZ,20260318,strict_only,3,
h2m80d50_dual,002913.SZ,20260318,strict_only,3,
h2m80d50_dual,001369.SZ,20260317,layer2_m1_only,5,
h2m80d50_dual,002506.SZ,20260317,strict_only,3,
h2m80d50_dual,000833.SZ,20260313,overlap_core,1,
h2m80d50_dual,300185.SZ,20260313,strict_only,3,
h2m80d50_dual,601611.SH,20260313,strict_only,3,
h2m80d50_dual,603169.SH,20260313,layer2_m1_only,5,
h2m80d50_dual,603248.SH,20260313,strict_only,3,
h2m80d50_dual,002015.SZ,20260312,layer2_m1_only,5,
h2m80d50_dual,301658.SZ,20260311,layer2_m1_only,5,
h2m80d50_dual,002015.SZ,20260309,layer2_m1_only,5,
h2m80d50_dual,688158.SH,20260309,layer2_m1_only,5,
h2m80d50_dual,002498.SZ,20260305,layer2_m1_only,5,
h2m80d50_dual,002378.SZ,20260211,layer2_m1_only,5,
h2m80d50_dual,603619.SH,20260211,strong_only,2,
h2m80d50_dual,000960.SZ,20260202,layer2_m1_only,5,
h2m80d50_dual,600550.SH,20260202,layer2_m1_only,5,
h2m80d50_dual,000737.SZ,20260129,layer2_m1_only,5,
h2m80d50_dual,000878.SZ,20260129,layer2_m1_only,5,
h2m80d50_dual,001337.SZ,20260128,layer2_m1_only,5,
h2m80d50_dual,600877.SH,20260127,layer2_m1_only,5,
h2m80d50_dual,002716.SZ,20260126,layer2_m1_only,5,
h2m80d50_dual,688158.SH,20260126,layer2_m1_only,5,
h2m80d50_dual,002163.SZ,20260119,layer2_m1_only,5,
h2m80d50_dual,000681.SZ,20260115,layer2_m1_only,5,
h2m80d50_dual,002716.SZ,20260114,layer2_m3_only,5,
h2m80d50_dual,600435.SH,20260107,layer2_m1_only,5,
h2m80d50_dual,000620.SZ,20260106,layer2_m1_only,5,
