model,ts_code,trade_date,priority_name,priority,target
h3m55d15_consensus,002428.SZ,20260512,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,002498.SZ,20260512,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,600869.SH,20260512,KEEP60_ONLY,2,
h3m55d15_consensus,000636.SZ,20260511,KEEP60_ONLY,2,
h3m55d15_consensus,600330.SH,20260511,KEEP60_ONLY,2,
h3m55d15_consensus,688146.SH,20260511,KEEP60_ONLY,2,
h3m55d15_consensus,002317.SZ,20260508,CURRENT_ONLY,2,
h3m55d15_consensus,600498.SH,20260508,CURRENT_ONLY,2,
h3m55d15_consensus,001309.SZ,20260506,KEEP60_ONLY,2,
h3m55d15_consensus,002081.SZ,20260506,KEEP60_ONLY,2,
h3m55d15_consensus,603248.SH,20260506,KEEP60_ONLY,2,
h3m55d15_consensus,000628.SZ,20260430,KEEP60_ONLY,2,
h3m55d15_consensus,000833.SZ,20260430,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,002192.SZ,20260430,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,002079.SZ,20260429,KEEP60_ONLY,2,
h3m55d15_consensus,002756.SZ,20260429,KEEP60_ONLY,2,
h3m55d15_consensus,600186.SH,20260429,KEEP60_ONLY,2,
h3m55d15_consensus,002821.SZ,20260428,CURRENT_ONLY,2,
h3m55d15_consensus,600744.SH,20260428,CURRENT_ONLY,2,
h3m55d15_consensus,002176.SZ,20260424,CURRENT_ONLY,2,
h3m55d15_consensus,603876.SH,20260424,CURRENT_ONLY,2,
h3m55d15_consensus,600186.SH,20260423,KEEP60_ONLY,2,
h3m55d15_consensus,600986.SH,20260423,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,601778.SH,20260423,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,600105.SH,20260422,KEEP60_ONLY,2,
h3m55d15_consensus,600330.SH,20260422,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,600487.SH,20260422,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,000690.SZ,20260421,CURRENT_ONLY,2,
h3m55d15_consensus,600032.SH,20260421,CURRENT_ONLY,2,
h3m55d15_consensus,002149.SZ,20260420,CURRENT_ONLY,2,
h3m55d15_consensus,002428.SZ,20260420,CURRENT_ONLY,2,
h3m55d15_consensus,001389.SZ,20260417,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,603083.SH,20260417,KEEP60_ONLY,2,
h3m55d15_consensus,603118.SH,20260417,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,000967.SZ,20260416,KEEP60_ONLY,2,
h3m55d15_consensus,603826.SH,20260416,KEEP60_ONLY,2,
h3m55d15_consensus,603920.SH,20260416,KEEP60_ONLY,2,
h3m55d15_consensus,002038.SZ,20260415,CURRENT_ONLY,2,
h3m55d15_consensus,600664.SH,20260415,CURRENT_ONLY,2,
h3m55d15_consensus,002080.SZ,20260413,CURRENT_ONLY,2,
h3m55d15_consensus,002929.SZ,20260413,CURRENT_ONLY,2,
h3m55d15_consensus,000762.SZ,20260410,CURRENT_ONLY,2,
h3m55d15_consensus,001309.SZ,20260410,CURRENT_ONLY,2,
h3m55d15_consensus,002281.SZ,20260409,CURRENT_ONLY,2,
h3m55d15_consensus,002536.SZ,20260409,CURRENT_ONLY,2,
h3m55d15_consensus,600869.SH,20260403,CURRENT_ONLY,2,
h3m55d15_consensus,688205.SH,20260403,CURRENT_ONLY,2,
h3m55d15_consensus,000762.SZ,20260402,CURRENT_ONLY,2,
h3m55d15_consensus,002051.SZ,20260402,CURRENT_ONLY,2,
h3m55d15_consensus,601908.SH,20260331,CURRENT_ONLY,2,
h3m55d15_consensus,603826.SH,20260331,CURRENT_ONLY,2,
h3m55d15_consensus,000767.SZ,20260326,CURRENT_ONLY,2,
h3m55d15_consensus,601908.SH,20260326,CURRENT_ONLY,2,
h3m55d15_consensus,000703.SZ,20260323,CURRENT_ONLY,2,
h3m55d15_consensus,603693.SH,20260323,CURRENT_ONLY,2,
h3m55d15_consensus,002428.SZ,20260320,CURRENT_ONLY,2,
h3m55d15_consensus,603026.SH,20260320,CURRENT_ONLY,2,
h3m55d15_consensus,002432.SZ,20260319,KEEP60_ONLY,2,
h3m55d15_consensus,600186.SH,20260319,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,600996.SH,20260319,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,001369.SZ,20260317,CURRENT_ONLY,2,
h3m55d15_consensus,002506.SZ,20260317,CURRENT_ONLY,2,
h3m55d15_consensus,000620.SZ,20260316,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,600667.SH,20260316,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,603248.SH,20260316,KEEP60_ONLY,2,
h3m55d15_consensus,002531.SZ,20260313,CURRENT_ONLY,2,
h3m55d15_consensus,603169.SH,20260313,CURRENT_ONLY,2,
h3m55d15_consensus,000537.SZ,20260312,KEEP60_ONLY,2,
h3m55d15_consensus,002015.SZ,20260312,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,601016.SH,20260312,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,000833.SZ,20260311,KEEP60_ONLY,2,
h3m55d15_consensus,001369.SZ,20260311,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,301658.SZ,20260311,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,002335.SZ,20260310,KEEP60_ONLY,2,
h3m55d15_consensus,601778.SH,20260310,KEEP60_ONLY,2,
h3m55d15_consensus,688300.SH,20260310,KEEP60_ONLY,2,
h3m55d15_consensus,600821.SH,20260309,CURRENT_ONLY,2,
h3m55d15_consensus,688158.SH,20260309,CURRENT_ONLY,2,
h3m55d15_consensus,002015.SZ,20260306,CURRENT_ONLY,2,
h3m55d15_consensus,600821.SH,20260306,CURRENT_ONLY,2,
h3m55d15_consensus,002498.SZ,20260305,KEEP60_ONLY,2,
h3m55d15_consensus,300303.SZ,20260305,KEEP60_ONLY,2,
h3m55d15_consensus,300323.SZ,20260305,KEEP60_ONLY,2,
h3m55d15_consensus,600871.SH,20260304,CURRENT_ONLY,2,
h3m55d15_consensus,603530.SH,20260304,CURRENT_ONLY,2,
h3m55d15_consensus,600583.SH,20260303,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,601975.SH,20260303,KEEP60_ONLY,2,
h3m55d15_consensus,603619.SH,20260303,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,600498.SH,20260302,KEEP60_ONLY,2,
h3m55d15_consensus,601975.SH,20260302,KEEP60_ONLY,2,
h3m55d15_consensus,603619.SH,20260302,KEEP60_ONLY,2,
h3m55d15_consensus,000035.SZ,20260227,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,600744.SH,20260227,KEEP60_ONLY,2,
h3m55d15_consensus,600821.SH,20260227,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,000899.SZ,20260226,CURRENT_ONLY,2,
h3m55d15_consensus,600744.SH,20260226,CURRENT_ONLY,2,
h3m55d15_consensus,000636.SZ,20260225,KEEP60_ONLY,2,
h3m55d15_consensus,002428.SZ,20260225,KEEP60_ONLY,2,
h3m55d15_consensus,002498.SZ,20260225,KEEP60_ONLY,2,
h3m55d15_consensus,000636.SZ,20260224,KEEP60_ONLY,2,
h3m55d15_consensus,002498.SZ,20260224,KEEP60_ONLY,2,
h3m55d15_consensus,301526.SZ,20260224,KEEP60_ONLY,2,
h3m55d15_consensus,000021.SZ,20260213,CURRENT_ONLY,2,
h3m55d15_consensus,601890.SH,20260213,CURRENT_ONLY,2,
h3m55d15_consensus,002080.SZ,20260211,CURRENT_ONLY,2,
h3m55d15_consensus,002378.SZ,20260211,CURRENT_ONLY,2,
h3m55d15_consensus,000681.SZ,20260210,KEEP60_AND_CURRENT,2,
h3m55d15_consensus,002292.SZ,20260210,KEEP60_AND_CURRENT,2,
