model,ts_code,trade_date,priority_name,priority,target
h3m55d15_consensus,002428.SZ,20260713,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,300475.SZ,20260713,KEEP60_ONLY,2,
h3m55d15_consensus,600206.SH,20260713,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,000048.SZ,20260710,KEEP60_ONLY,2,
h3m55d15_consensus,600206.SH,20260710,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,605358.SH,20260710,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,002428.SZ,20260708,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,002841.SZ,20260708,KEEP60_ONLY,2,
h3m55d15_consensus,603496.SH,20260708,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,301526.SZ,20260707,CURRENT_ONLY,2,
h3m55d15_consensus,600353.SH,20260707,CURRENT_ONLY,2,
h3m55d15_consensus,000657.SZ,20260706,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,001287.SZ,20260706,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,002396.SZ,20260706,KEEP60_ONLY,2,
h3m55d15_consensus,002354.SZ,20260702,KEEP60_ONLY,2,
h3m55d15_consensus,002458.SZ,20260702,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,600641.SH,20260702,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,000021.SZ,20260629,KEEP60_ONLY,2,
h3m55d15_consensus,002237.SZ,20260629,KEEP60_ONLY,2,
h3m55d15_consensus,601636.SH,20260629,KEEP60_ONLY,2,
h3m55d15_consensus,002965.SZ,20260626,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,600552.SH,20260626,KEEP60_ONLY,2,
h3m55d15_consensus,603650.SH,20260626,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,002138.SZ,20260623,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,002484.SZ,20260623,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,300085.SZ,20260623,KEEP60_ONLY,2,
h3m55d15_consensus,002203.SZ,20260612,KEEP60_ONLY,2,
h3m55d15_consensus,300620.SZ,20260612,KEEP60_ONLY,2,
h3m55d15_consensus,601958.SH,20260612,KEEP60_ONLY,2,
h3m55d15_consensus,000048.SZ,20260611,KEEP60_AND_CURRENT,2,
h3m55d15_consensus,002254.SZ,20260611,KEEP60_AND_CURRENT,2,
h3m55d15_consensus,600378.SH,20260611,KEEP60_ONLY,2,
h3m55d15_consensus,000048.SZ,20260610,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,600378.SH,20260610,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,605589.SH,20260610,KEEP60_ONLY,2,
h3m55d15_consensus,002254.SZ,20260608,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,002354.SZ,20260608,KEEP60_ONLY,2,
h3m55d15_consensus,002421.SZ,20260608,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,600552.SH,20260605,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,600707.SH,20260605,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,688017.SH,20260605,KEEP60_ONLY,2,
h3m55d15_consensus,600353.SH,20260604,CURRENT_ONLY,2,
h3m55d15_consensus,688146.SH,20260604,CURRENT_ONLY,2,
